model,cnn_layers,embed_dim,hidden_dim,num_decoder_layers,bleu1,bleu2,bleu3,bleu4,temp_20_epochs(min)
dcp_05_07_emb512_cnn4_best.pt,4,512,512,1,0.6059979317476732,0.425929333024296,0.2870340576377965,0.19156371888481047,28.45
dcp_05_07_cnn4_best.pt,4,256,512,1,0.5990070651136147,0.4162755284875198,0.2796736371543675,0.18666754975357358, 24.44
dcp_05_07_baseline_best.pt,3,256,512,1,0.5961653089608583,0.41125479547336297,0.27529327631420847,0.1850271916723115,31.12
dcp_05_07_l2_best.pt,3,256,512,2,0.5558201300485393,0.3754814696171059,0.24479522571607482,0.16147345501922067,34.60
dcp_05_07_h768_best.pt,3,256,768,1,0.5384548232213008,0.3578907796692979,0.22998805178603238,0.15169194065298153,32.38
dcp_05_07_emb512_best.pt,3,512,512,1,0.5206073752711496,0.34850552209071556,0.22654886260138077,0.14831931517997834,32.13
dcp_05_07_cnn2_best.pt,2,256,512,1,0.5105042016806722,0.32328061723747414,0.1960038535996539,0.12394238521598612,68.54
